Species,Imaged?,Tentilla,Proximal heteronemes,Desmonemes,Rhopalonemes,Dynamic cnidoband,Elastic strand,Distal cnidoband desmonemes,Coiled tentilla,Heteroneme type,Haploneme type,Rhopaloneme type
Abyla bicarinata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Abyla trigona,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Abylopsis tetragona,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Agalma clausi,1,1,1,1,1,1,1,0,1,Microbasic mastigophore,Anisorhizas,Acrophores
Agalma elegans,1,1,1,1,1,1,1,0,1,Microbasic mastigophore,Anisorhizas,Acrophores
Agalma okeni,1,1,1,1,1,1,1,0,1,Microbasic mastigophore,Anisorhizas,Acrophores
Amphicaryon acaule,,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Amphicaryon earnesti,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Amphicaryon peltifera,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Apolemia lanosa,1,0,0,0,0,0,0,0,0,Eurytele,,
Apolemia rubriversa,1,0,0,0,0,0,0,0,0,Eurytele,,
Apolemia uvaria,1,0,0,0,0,0,0,0,0,Birrhopaloid,,
Athorybia rosacea,1,1,1,1,1,1,1,0,1,Microbasic mastigophore,Anisorhizas,Acrophores
Bargmannia amoena,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Bargmannia elongata,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Bargmannia lata,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas,
Bassia bassensis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Bathyphysa sibogae,1,1,0,0,0,0,0,0,0,,Anisorhizas,
Cardianecta parchelion,1,1,1,0,0,1,,0,1,Stenotele,Anisorhizas,
Ceratocymba dentata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Ceratocymba leuckarti,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Ceratocymba sagittata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Chelophyes appendiculata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Chuniphyes moserae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Chuniphyes multidentata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Clausophyes moserae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Cordagalma abyssorum,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas,
Cordagalma bimaculatum,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas,
Cordagalma isocarrei,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas,
Cordagalma ordinatum,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas,
Craseoa lathetica,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Desmophyes annectens,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Desmophyes haematogaster,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Diphyes antarctica,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Diphyes bojani,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Diphyes dispar,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Erenna cornuta,1,1,1,0,0,0,0,0,0,Microbasic mastigophore,Anisorhizas,
Erenna insidiator,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Erenna laciniata,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Erenna richardi,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Erenna sirena,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Forskalia asymmetrica,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Forskalia edwardsi,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Forskalia formosa,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Forskalia tholoides,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Frillagalma vityazi,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas,
Gymnopraia lapislazula,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Halistemma cupulifera,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Halistemma foliacea,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Halistemma rubrum,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Halistemma striata,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Halistemma maculatum,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Halistemma transliratum,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Hippopodius hippopus,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Kephyes ovata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lensia achilles,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lensia asymmetrica,,,,,,,,,,Microbasic mastigophore,Anisorhizas,Anacrophores
Lensia conoidea,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lensia hostile,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lensia multicristata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lilyopsis fluoracantha,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lilyopsis medusa,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Lychnagalma utricularia,1,1,1,0,0,1,1,0,1,Stenotele,Anisorhizas,
Maresearsia praeclara,,,,,,,,,,,,
Marrus orthocanna,1,1,1,1,1,,1,0,1,Stenotele,Anisorhizas,Acrophores
Marrus claudanielis,1,1,1,1,1,,1,0,1,Stenotele,Anisorhizas,Acrophores
Melophysa melo,1,1,1,1,1,,1,,,,,
Muggiaea atlantica,,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Muggiaea kochi,,,,,,,,,,Microbasic mastigophore,Anisorhizas,Anacrophores
Nanomia bijuga,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Nanomia cara,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Nectadamas diomedeae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Nectadamas richardi,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Nectopyramis thetis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Physonect sp,1,1,1,0,1,1,1,0,0,Stenotele,Anisorhizas,Acrophores
Parerenna emilyae,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas,
Physalia physalis,1,1,0,0,0,0,0,0,0,,Isorhizas,
Physophora gilmeri,,1,1,0,0,1,1,0,1,Stenotele,Anisorhizas,
Physophora hydrostatica,1,1,1,0,0,1,1,0,1,Stenotele,Anisorhizas,
Praya dubia,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Praya reticulata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Prayola urinatrix,,,,,,,,,,Microbasic mastigophore,Anisorhizas,Anacrophores
Resomia dunni,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas,Acrophores
Resomia ornicephala,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas,Acrophores
Resomia persica,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas,Acrophores
Rhizophysa eysenhardti,1,1,0,0,0,0,0,0,0,,Isorhizas,
Rhizophysa filiformis,1,1,0,0,0,0,0,0,0,,Isorhizas,
Rosacea cymbiformis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Rosacea plicata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sphaeronectes christiansonae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sphaeronectes haddocki,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sphaeronectes koellikeri,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Stephanomia amphytridis,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas,Acrophores
Stephanophyes superba,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sulculeolaria biloba,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sulculeolaria chuni,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sulculeolaria monoica,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Sulculeolaria quadrivalvis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Thermopalia taraxaca,1,1,1,1,1,,,,1,,,
Vogtia glabra,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Vogtia serrata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores
Vogtia spinosa,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas,Anacrophores